"URL","Image","Name","Brand","Capacity","Star","Rating","Review","Price","Discount"
"www.flipkart.com/havells-3-l-instant-water-geyser-carlo-white-blue/p/itm815590161eab6?pid=WGYFUS5Y6MEFQ7Q9&lid=LSTWGYFUS5Y6MEFQ7Q994TZU4&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_1&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYFUS5Y6MEFQ7Q9.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/knoxnrk0/water-geyser/i/j/9/carlo-havells-original-imag2ay2dddwfbqv.jpeg?q=70","HAVELLS 3 L Instant Water Geyser (Carlo, White Blue)","HAVELLS","3","4.2","2,493","179","₹2,999","37%"
"www.flipkart.com/hindware-3-l-instant-water-geyser-immedio-blue-white-blue/p/itm604d85aa42777?pid=WGYEE8DVZY8YQQ7W&lid=LSTWGYEE8DVZY8YQQ7W1NQNMC&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&spotlightTagId=BestsellerId_j9e%2Fabm%2Fbfm&srno=b_1_2&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYEE8DVZY8YQQ7W.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/joynde80/water-geyser/q/7/w/hi03pdb30-hindware-3-0-original-imafbaxj5xsf6c9n.jpeg?q=70","Hindware 3 L Instant Water Geyser (Immedio Blue, White & Blue)","Hindware","3","4.1","50,908","7,000","₹2,399","37%"
"www.flipkart.com/hindware-25-l-storage-water-geyser-swh2501d-white/p/itmb85c603ce87de?pid=WGYF6X74HNGRGGFZ&lid=LSTWGYF6X74HNGRGGFZNXINJY&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_3&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYF6X74HNGRGGFZ.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/k51cpe80/water-geyser/g/f/z/swh2501d-2000-hindware-25-original-imafnt9azghjusgx.jpeg?q=70","Hindware 25 L Storage Water Geyser (SWH2501D, White)","Hindware","25","4.2","6,781","723","₹5,499","26%"
"www.flipkart.com/ao-smith-3-l-instant-water-geyser-ews-3-white/p/itmd19b6c944f787?pid=WGYEV3W3B7JFHFYM&lid=LSTWGYEV3W3B7JFHFYMAN7YWL&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_4&otracker=browse&fm=organic&iid=en_SNdppMs6CmcAABoPeuqNkpo6kHhRpfJpLYzksw%2BnOIBp6JxEDT1DACPS67JtHUMqq22%2BBVyvBtHV%2BdKXVM9Dig%3D%3D&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/krce64w0/water-geyser/1/y/i/ews-3-ao-smith-original-imag55zvsnejwany.jpeg?q=70","Ao Smith 3 L Instant Water Geyser (EWS 3, White)","Ao","3","4","2,137","322","₹3,199","33%"
"www.flipkart.com/candes-10-l-storage-water-geyser-perfecto-ivory/p/itm6e0fecc0a8db6?pid=WGYFKA986ET6YZY5&lid=LSTWGYFKA986ET6YZY52TPQGA&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_5&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYFKA986ET6YZY5.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/ksdjma80/water-geyser/1/a/o/2019-10l-metal-storage-water-geyser-2000-candes-10-original-imag5yjbcjzz43yf.jpeg?q=70","Candes 10 L Storage Water Geyser (Perfecto, Ivory)","Candes","10","4.1","6,575","971","₹3,599","34%"
"www.flipkart.com/candes-15-l-storage-water-geyser-15metal-ivory/p/itm4dd0c4fccbd50?pid=WGYFYCV5FZ3UPAMF&lid=LSTWGYFYCV5FZ3UPAMFP5QBJN&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_6&otracker=browse&fm=organic&iid=en_SNdppMs6CmcAABoPeuqNkpo6kHhRpfJpLYzksw%2BnOICYanbdbsp7fKXvBojamTCIOk5PVCDZIq8pLLrKY%2BGZmg%3D%3D&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/kkmwr680/water-geyser/u/r/j/2021-15perfecto-2000-candes-15-original-imafzxsnev743vf6.jpeg?q=70","Candes 15 L Storage Water Geyser (15METAL, Ivory)","Candes","15","4.2","3,615","561","₹3,999","49%"
"www.flipkart.com/bajaj-3-l-instant-water-geyser-ivora-white/p/itmb9314a52408e1?pid=WGYFHGQVSXQZTH6F&lid=LSTWGYFHGQVSXQZTH6F4TSVER&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_7&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYFHGQVSXQZTH6F.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/k391w280/water-geyser/h/6/f/ivora-3000-bajaj-electricals-3-original-imafmf83znhyjhpg.jpeg?q=70","BAJAJ 3 L Instant Water Geyser (Ivora, White)","BAJAJ","3","4.2","12,019","1,165","₹2,999","40%"
"www.flipkart.com/havells-10-l-storage-water-geyser-instanio-white-blue/p/itm066d03dbcf8e6?pid=WGYFT4CAEGEDQ9QM&lid=LSTWGYFT4CAEGEDQ9QM4EEKGF&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_8&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYFT4CAEGEDQ9QM.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/kddf6a80/water-geyser/g/b/s/instanio-3l-white-blue-3000-havells-3-original-imafua9vrmuxfubr.jpeg?q=70","HAVELLS 10 L Storage Water Geyser (Instanio, White & Blue)","HAVELLS","10","4.3","8,379","885","₹6,999","35%"
"www.flipkart.com/crompton-3-l-instant-water-geyser-aiwh-3ljuno3kw5y-white/p/itm0efe7e33e0ef1?pid=WGYFUG8HCGA6YUCY&lid=LSTWGYFUG8HCGA6YUCYFDF7SH&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&spotlightTagId=TrendingId_j9e%2Fabm%2Fbfm&srno=b_1_9&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYFUG8HCGA6YUCY.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/kgpg5u80/water-geyser/u/c/y/aiwh-3ljuno3kw5y-3000-crompton-3-original-imafwvy9ycet5bgd.jpeg?q=70","CROMPTON 3 L Instant Water Geyser (AIWH-3LJUNO3KW5Y, White)","CROMPTON","3","4.1","7,573","747","₹2,899","28%"
"www.flipkart.com/lifelong-3-l-instant-water-geyser-isi-certified-ivory/p/itm469a0575d56a1?pid=WGYFKFHGXFMYA4HN&lid=LSTWGYFKFHGXFMYA4HNMDTOGJ&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_10&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYFKFHGXFMYA4HN.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/k0lbdzk0/water-geyser/4/h/n/llwh106-3000-lifelong-3-original-imafkct2pjffgzwm.jpeg?q=70","Lifelong 3 L Instant Water Geyser (ISI Certified, Ivory)","Lifelong","3","4.2","9,492","2,022","₹2,199","60%"
