"URL","Image","Name","Brand","Size","Star","Rating","Review","Price","Discount"
"www.flipkart.com/candes-102-cm-40-inch-full-hd-led-smart-android-tv/p/itm83f37a48bf487?pid=TVSG4ZWHWEGWQ9YJ&lid=LSTTVSG4ZWHWEGWQ9YJLEAN9T&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_1&otracker=browse&fm=organic&iid=en_Hk79zInz8CXhr%2FmRKQFSaIoZD6PB0GcrorCDaleIweNXcAPKgDB5J7JyVD9WjYUsr%2BciISBgSbki2nIdpVouLg%3D%3D&ppt=None&ppn=None&ssid=zjpjo5yn5c0000001639416358878","https://rukminim1.flixcart.com/image/312/312/krf91u80/television/v/2/d/p40s001-candes-original-imag57hshqtqzh5h.jpeg?q=70","Candes 102 cm (40 inch) Full HD LED Smart Android TV","Candes","40 inch","4","181","30","₹16,999","43%"
"www.flipkart.com/candes-60-cm-24-inch-hd-ready-led-smart-android-tv/p/itm5181c614939f7?pid=TVSG5EJ7GGMZHBXC&lid=LSTTVSG5EJ7GGMZHBXCHE1VG8&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_2&otracker=browse&fm=organic&iid=en_Hk79zInz8CXhr%2FmRKQFSaIoZD6PB0GcrorCDaleIweNtaV4d%2BfimYMIzUj%2FI2RAQVMqbLL7LyJi6Nn2U7yp9LQ%3D%3D&ppt=None&ppn=None&ssid=zjpjo5yn5c0000001639416358878","https://rukminim1.flixcart.com/image/312/312/krntoy80/television/m/x/z/f24s001-frameless-tv-candes-original-imag5egz5rddvkbh.jpeg?q=70","Candes 60 cm (24 inch) HD Ready LED Smart Android TV","Candes","24 inch","4","181","30","₹9,999","44%"
"www.flipkart.com/lg-80-cm-32-inch-hd-ready-led-smart-tv/p/itm6207e6d122567?pid=TVSFTW4CSRW8PGDQ&lid=LSTTVSFTW4CSRW8PGDQSZQIO6&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_3&otracker=browse&fm=organic&iid=11f43753-2b19-49fa-a94d-3e12cc6d19f8.TVSFTW4CSRW8PGDQ.SEARCH&ppt=None&ppn=None&ssid=zjpjo5yn5c0000001639416358878","https://rukminim1.flixcart.com/image/312/312/kdyus280/television/g/d/q/lg-32lm565bpta-32lm565bpta-original-imafurgkdrjfggbw.jpeg?q=70","LG 80 cm (32 inch) HD Ready LED Smart TV","LG","32 inch","4.4","34,029","3,053","₹17,499","20%"
"www.flipkart.com/oneplus-y-series-108-cm-43-inch-full-hd-led-smart-android-tv/p/itme3bf85dc7fef6?pid=TVSFVWD2GRQEG462&lid=LSTTVSFVWD2GRQEG462VSJDDU&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_4&otracker=browse&fm=organic&iid=11f43753-2b19-49fa-a94d-3e12cc6d19f8.TVSFVWD2GRQEG462.SEARCH&ppt=None&ppn=None&ssid=zjpjo5yn5c0000001639416358878","https://rukminim1.flixcart.com/image/312/312/kqidx8w0/television/o/h/9/43fa0a00-oneplus-original-imag4gy9perzvrdv.jpeg?q=70","OnePlus Y Series 108 cm (43 inch) Full HD LED Smart Android TV","OnePlus","43 inch","4.3","64,403","5,678","₹26,999","10%"
"www.flipkart.com/oneplus-y-series-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itme650a6bb8cee3?pid=TVSFVWD2ENXYGEJY&lid=LSTTVSFVWD2ENXYGEJYBNWSST&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_5&otracker=browse&fm=organic&iid=11f43753-2b19-49fa-a94d-3e12cc6d19f8.TVSFVWD2ENXYGEJY.SEARCH&ppt=None&ppn=None&ssid=zjpjo5yn5c0000001639416358878","https://rukminim1.flixcart.com/image/312/312/kqidx8w0/television/m/1/v/32ha0a00-oneplus-original-imag4gy8yezxdhen.jpeg?q=70","OnePlus Y Series 80 cm (32 inch) HD Ready LED Smart Android TV","OnePlus","32 inch","4.3","64,403","5,678","₹17,999","10%"
"www.flipkart.com/croma-81-28-cm-32-inch-hd-ready-led-tv/p/itm520151165f8a4?pid=TVSGYWDFYKYPHQKF&lid=LSTTVSGYWDFYKYPHQKFQ24AJZ&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_6&otracker=browse&fm=organic&iid=en_Hk79zInz8CXhr%2FmRKQFSaIoZD6PB0GcrorCDaleIweMDteAxGX3lrKJMRjTCgJ2TWgwjph3FY%2FhIrxG19BejOQ%3D%3D&ppt=None&ppn=None&ssid=zjpjo5yn5c0000001639416358878","https://rukminim1.flixcart.com/image/312/312/ku1k4280/television/p/f/6/crel7369-croma-original-imag7969pxhrwp2k.jpeg?q=70","Croma 81.28 cm (32 inch) HD Ready LED TV","Croma","32 inch","4.2","88","9","₹10,490","47%"
"www.flipkart.com/samsung-80-cm-32-inch-hd-ready-led-smart-tv/p/itm6e40262f4572a?pid=TVSFQXFKMHUDYCJ3&lid=LSTTVSFQXFKMHUDYCJ3IOJXHJ&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_7&otracker=browse&fm=organic&iid=11f43753-2b19-49fa-a94d-3e12cc6d19f8.TVSFQXFKMHUDYCJ3.SEARCH&ppt=None&ppn=None&ssid=zjpjo5yn5c0000001639416358878","https://rukminim1.flixcart.com/image/312/312/kbs9k7k0/television/c/j/3/samsung-ua32t4340akxxl-original-imaft25qdysfsq7k.jpeg?q=70","SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV","SAMSUNG","32 inch","4.4","44,411","4,082","₹17,999","9%"
"www.flipkart.com/mi-4a-pro-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itmfdwh5jyqhmvzg?pid=TVSG22C4DXQRVSTT&lid=LSTTVSG22C4DXQRVSTTJZD2M0&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_8&otracker=browse&fm=organic&iid=11f43753-2b19-49fa-a94d-3e12cc6d19f8.TVSG22C4DXQRVSTT.SEARCH&ppt=None&ppn=None&ssid=zjpjo5yn5c0000001639416358878","https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/n/w/v/l32m5-al-mi-original-imag4967mvqvpvgp.jpeg?q=70","Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV","Mi","32 inch","4.4","6,49,512","66,179","₹16,999","15%"
"www.flipkart.com/oneplus-y-series-100-cm-40-inch-full-hd-led-smart-android-tv/p/itmdcbd9784403b2?pid=TVSG25MMGB8NKFD8&lid=LSTTVSG25MMGB8NKFD8TP18YZ&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_9&otracker=browse&fm=organic&iid=11f43753-2b19-49fa-a94d-3e12cc6d19f8.TVSG25MMGB8NKFD8.SEARCH&ppt=None&ppn=None&ssid=zjpjo5yn5c0000001639416358878","https://rukminim1.flixcart.com/image/312/312/kph8h3k0/television/k/9/h/40y1-40fa1a00-oneplus-original-imag3p45tdgyvpqa.jpeg?q=70","OnePlus Y Series 100 cm (40 inch) Full HD LED Smart Android TV","OnePlus","40 inch","4.3","64,403","5,678","₹23,790","15%"
"www.flipkart.com/marq-flipkart-80-cm-32-inch-hd-ready-led-tv/p/itm5d92fd2c63d1c?pid=TVSG6YMAKR4MEG8R&lid=LSTTVSG6YMAKR4MEG8RSYDQKM&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_10&otracker=browse&fm=organic&iid=11f43753-2b19-49fa-a94d-3e12cc6d19f8.TVSG6YMAKR4MEG8R.SEARCH&ppt=None&ppn=None&ssid=zjpjo5yn5c0000001639416358878","https://rukminim1.flixcart.com/image/312/312/ktyp8cw0/television/q/r/o/32hdndmsvab-marq-original-imag76pvrgnqhxhu.jpeg?q=70","MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV","MarQ","32 inch","4.2","1,527","163","₹9,999","50%"
