"URL","Image","Name","Brand","Capacity","Type","Star","Rating","Review","Price","Discount"
"www.flipkart.com/whirlpool-7-kg-5-star-turbo-scrub-technology-semi-automatic-top-load-grey/p/itmc2358c606b038?pid=WMNFH8WMMYH8WVAQ&lid=LSTWMNFH8WMMYH8WVAQ3WTUET&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&spotlightTagId=BestsellerId_j9e%2Fabm%2F8qx&srno=b_1_1&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=e2beee7f-325f-4a80-a83e-dca79fffbe2f.WMNFH8WMMYH8WVAQ.SEARCH&ppt=None&ppn=None&ssid=0bcv1rbvo00000001639142948700","https://rukminim1.flixcart.com/image/312/312/ks4yz680/washing-machine-new/4/m/o/superb-atom-70s-grey-dazzle-5yr-whirlpool-original-imag5s43pxkkabnc.jpeg?q=70","Whirlpool 7 kg 5 Star,Turbo Scrub Technology Semi Automatic Top Load Grey","Whirlpool","7","Semi Automatic Top Load","4.4","49,580","4,955","₹9,990","16%"
"www.flipkart.com/marq-flipkart-6-kg-5-star-rating-semi-automatic-top-load-white-maroon/p/itm125a12d8f3fef?pid=WMNFMKPKZYYJAQWD&lid=LSTWMNFMKPKZYYJAQWD0RGH7K&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_2&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=e2beee7f-325f-4a80-a83e-dca79fffbe2f.WMNFMKPKZYYJAQWD.SEARCH&ppt=None&ppn=None&ssid=0bcv1rbvo00000001639142948700","https://rukminim1.flixcart.com/image/312/312/ku1k4280/washing-machine-new/r/t/x/mqsa60h5m-marq-by-flipkart-original-imag793fghyygmbg.jpeg?q=70","MarQ By Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon","MarQ","6","Semi Automatic Top Load","4.3","40,917","4,816","₹7,490","25%"
"www.flipkart.com/samsung-6-5-kg-diamond-drum-feature-fully-automatic-top-load-silver/p/itme1ba4fde1563a?pid=WMNFV6ZYDFQFJGT5&lid=LSTWMNFV6ZYDFQFJGT5TJW2UD&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_3&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=e2beee7f-325f-4a80-a83e-dca79fffbe2f.WMNFV6ZYDFQFJGT5.SEARCH&ppt=None&ppn=None&ssid=0bcv1rbvo00000001639142948700","https://rukminim1.flixcart.com/image/312/312/kevpwnk0/washing-machine-new/g/t/5/wa65a4002vs-tl-samsung-original-imafvgz4qzfazbsh.jpeg?q=70","SAMSUNG 6.5 kg Diamond Drum feature Fully Automatic Top Load Silver","SAMSUNG","6.5","Fully Automatic Top Load","4.4","94,896","9,152","₹14,990","10%"
"www.flipkart.com/candes-6-5-kg-semi-automatic-top-load-red-white/p/itmdee5d39305445?pid=WMNG5FGYKDSCYSR7&lid=LSTWMNG5FGYKDSCYSR7JRKYBX&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_4&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=en_tbO9UugSYnByzdOMET00HAbnn%2F202ovSMIXd4Foe1cQAkZUD8mAJiodzvJ1izt2iIdigtNrJcHbCoicEsWL2Hg%3D%3D&ppt=None&ppn=None&ssid=0bcv1rbvo00000001639142948700","https://rukminim1.flixcart.com/image/312/312/ksdjma80/washing-machine-new/n/b/w/6-5-ctpl65plswm-candes-original-imag5ycacpawwvhn.jpeg?q=70","Candes 6.5 kg Semi Automatic Top Load Red, White","Candes","6.5","Semi Automatic Top Load","4.2","106","12","₹7,499","31%"
"www.flipkart.com/whirlpool-6-kg-fully-automatic-top-load-grey/p/itmcb6f9bac28d1a?pid=WMNFYGG2RXGZGGFG&lid=LSTWMNFYGG2RXGZGGFGGY9KVG&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_5&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=e2beee7f-325f-4a80-a83e-dca79fffbe2f.WMNFYGG2RXGZGGFG.SEARCH&ppt=None&ppn=None&ssid=0bcv1rbvo00000001639142948700","https://rukminim1.flixcart.com/image/312/312/km57hjk0/washing-machine-new/b/9/x/wm-royal-6-0-genx-grey-5ymw-whirlpool-original-imagf3xfms7xrtzk.jpeg?q=70","Whirlpool 6 kg Fully Automatic Top Load Grey","Whirlpool","6","Fully Automatic Top Load","4.3","11,546","897","₹12,990","22%"
"www.flipkart.com/candes-9-kg-semi-automatic-top-load-blue-white/p/itm56e1a2bd16472?pid=WMNG5FGYGJFTCYGZ&lid=LSTWMNG5FGYGJFTCYGZ4TYC9H&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_6&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=en_tbO9UugSYnByzdOMET00HAbnn%2F202ovSMIXd4Foe1cQg%2FxGPEJ0kpwseKHN1NXsu8nM7IGE7lghecbbFdgcG%2Bg%3D%3D&ppt=None&ppn=None&ssid=0bcv1rbvo00000001639142948700","https://rukminim1.flixcart.com/image/312/312/ksdjma80/washing-machine-new/i/5/k/9-ctpl90gl2swm-candes-original-imag5yc9yz5u7seg.jpeg?q=70","Candes 9 kg Semi Automatic Top Load Blue, White","Candes","9","Semi Automatic Top Load","4","7","3","₹10,999","29%"
"www.flipkart.com/samsung-7-2-kg-double-storm-technology-semi-automatic-top-load-white/p/itmfeed5dxkkzmf5?pid=WMNDY9RWCWFQMADQ&lid=LSTWMNDY9RWCWFQMADQEEDXWJ&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_7&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=e2beee7f-325f-4a80-a83e-dca79fffbe2f.WMNDY9RWCWFQMADQ.SEARCH&ppt=None&ppn=None&ssid=0bcv1rbvo00000001639142948700","https://rukminim1.flixcart.com/image/312/312/j8ndea80/washing-machine-new/a/d/q/wt725qpndmpxtl-samsung-original-imaenq3wz97hzk9j.jpeg?q=70","SAMSUNG 7.2 kg with Double Storm Technology Semi Automatic Top Load White","SAMSUNG","7.2","Semi Automatic Top Load","4.4","27,128","2,483","₹9,690","26%"
"www.flipkart.com/lg-6-5-kg-5-star-inverter-fully-automatic-top-load-silver/p/itme4cacbedc1c8f?pid=WMNFZX5BMUYJMPRB&lid=LSTWMNFZX5BMUYJMPRBQPQHWF&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_8&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=e2beee7f-325f-4a80-a83e-dca79fffbe2f.WMNFZX5BMUYJMPRB.SEARCH&ppt=None&ppn=None&ssid=0bcv1rbvo00000001639142948700","https://rukminim1.flixcart.com/image/312/312/k6zda4w0/washing-machine-new/p/r/b/t65sksf4z-lg-original-imafpbmu7sfss4k6.jpeg?q=70","LG 6.5 kg 5 Star Inverter Fully Automatic Top Load Silver","LG","6.5","Fully Automatic Top Load","4.3","23,281","2,016","₹16,490","10%"
"www.flipkart.com/onida-7-kg-5-star-fully-automatic-top-load-grey/p/itmb09f214ec0900?pid=WMNFPS483VBXJQGP&lid=LSTWMNFPS483VBXJQGPBCKZL7&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_9&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=e2beee7f-325f-4a80-a83e-dca79fffbe2f.WMNFPS483VBXJQGP.SEARCH&ppt=None&ppn=None&ssid=0bcv1rbvo00000001639142948700","https://rukminim1.flixcart.com/image/312/312/kmwcuq80/washing-machine-new/x/i/y/t70cgn-onida-original-imagfzw7tgh3upyb.jpeg?q=70","ONIDA 7 kg 5 star Fully Automatic Top Load Grey","ONIDA","7","Fully Automatic Top Load","4.2","38,470","4,505","₹13,490","38%"
"www.flipkart.com/onida-6-5-kg-washer-only-red/p/itmfb5qhnphbykhc?pid=WMNE8XYHGGA75VWK&lid=LSTWMNE8XYHGGA75VWKCMHXOA&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_1_10&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=e2beee7f-325f-4a80-a83e-dca79fffbe2f.WMNE8XYHGGA75VWK.SEARCH&ppt=None&ppn=None&ssid=0bcv1rbvo00000001639142948700","https://rukminim1.flixcart.com/image/312/312/jz05rww0/washing-machine-new/v/w/k/ws65wlpt1lr-liliput-onida-original-imafj4dcuthbufzm.jpeg?q=70","ONIDA 6.5 kg Washer only Red","ONIDA","6.5","Washer only | 270 W","4.3","16,988","2,156","₹5,400","NULL"
